def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(FEAT_GUI),
True,
def(PROTO),
def(NBDEBUG),
def(FEAT_JOB_CHANNEL),
!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(MAIN),
def(DEBUG),
def(__MINT__),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WIN32),
def(WSDEBUG),
!def(FEAT_GUI_W32),
