!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
True,
def(__BORLANDC__),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(PROTO),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
