!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(__MINT__),
def(FEAT_BEVAL_GUI),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(PROTO),
def(WIN32),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_GTK),
def(_WIN32),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_PROFILE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
True,
def(WSDEBUG),
