!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
True,
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(FEAT_FKMAP),
def(EBCDIC),
def(FEAT_GUI_W32),
def(FEAT_DND),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(DEBUG),
!def(FEAT_BEVAL),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
!def(LESSTIF_VERSION),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
