!def(FEAT_EMACS_TAGS),
def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(PROTO),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(WSDEBUG),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_FKMAP),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(DEBUG),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_EMACS_TAGS),
