!def(FEAT_GUI_GTK),
def(FEAT_CLIPBOARD),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(WSDEBUG),
!def(NO_CONSOLE),
!def(FEAT_RIGHTLEFT),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
!def(PROTO),
def(DEBUG),
def(FEAT_GUI),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
