!def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
!def(FEAT_MBYTE),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
!def(FEAT_EMACS_TAGS),
def(FEAT_CLIPBOARD),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
def(PROTO),
def(FEAT_FKMAP),
!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
True,
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_EMACS_TAGS),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
