!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(WIN32),
def(MAIN),
def(PROTO),
def(LESSTIF_VERSION),
def(_WIN32),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
