def(__MINT__),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(_WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
True,
def(DEBUG),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
!def(FEAT_PROFILE),
def(WIN32),
!def(INET_SOCKETS),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MAIN),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_SENSE),
def(FEAT_JOB_CHANNEL),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI),
def(PROTO),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
