!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_BEVAL_GUI),
def(FEAT_JOB_CHANNEL),
def(__MINT__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MAIN),
def(FEAT_TOOLBAR),
def(DEBUG),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(LESSTIF_VERSION),
True,
def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(UNIX),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_PROFILE),
!def(UNIX),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
