!def(INET_SOCKETS),
!def(FEAT_PROFILE),
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(__MINT__),
def(_WIN32),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_BEVAL),
def(PROTO),
def(FEAT_GUI_W32),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_TRACE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WIN32),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
