(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_GUI),
!def(EBCDIC),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
!def(RISCOS),
def(FEAT_DND),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(NOIME)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
True,
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
