(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
True,
def(FEAT_MBYTE),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TERMRESPONSE),
def(FEAT_DND),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
!def(EBCDIC),
def(FEAT_FKMAP),
def(DEBUG),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(NBDEBUG),
!def(LESSTIF_VERSION),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
!def(NO_CONSOLE),
def(EBCDIC),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
