def(RISCOS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
!def(RISCOS),
def(FEAT_GUI_GTK),
True,
!def(FEAT_GUI_GTK),
!def(FEAT_MBYTE),
!def(EBCDIC),
def(__BORLANDC__),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(PROTO),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(EBCDIC),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
