def(FEAT_TOOLBAR),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(PROTO),
!def(PROTO),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
