!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(DEBUG),
True,
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
!def(RISCOS),
def(FEAT_GUI_GTK),
def(RISCOS),
!def(NO_CONSOLE),
def(PROTO),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(EBCDIC),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
