!def(NO_CONSOLE),
def(WSDEBUG),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
True,
def(DEBUG),
def(INET_SOCKETS),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(PROTO),
def(WSDEBUG_TRACE),
