!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
!def(UNIX),
def(NBDEBUG),
def(DEBUG),
!def(FEAT_PROFILE),
def(FEAT_GUI_W32),
def(UNIX),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(_WIN32),
def(FEAT_TOOLBAR),
True,
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
def(ABORT_ON_INTERNAL_ERROR),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
def(__MINT__),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_BEVAL_GUI),
def(FEAT_PROFILE),
def(MAIN),
def(FEAT_TERMRESPONSE),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
