def(FEAT_EMACS_TAGS),
def(FEAT_SUN_WORKSHOP),
True,
def(MCH_WRITE_DUMP),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(DEBUG),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(FEAT_FKMAP),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(INET_SOCKETS),
!def(FEAT_EMACS_TAGS),
