(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_TERMRESPONSE),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(JUMPLIST_ROTATE),
True,
!def(FEAT_BEVAL),
(!def(FEAT_BEVAL)&def(NOIME)),
def(LESSTIF_VERSION),
def(FEAT_DND),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(DEBUG),
def(EBCDIC),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
!def(RISCOS),
(def(FEAT_MBYTE)&!def(NO_CONSOLE)),
def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(FEAT_RIGHTLEFT),
!def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
