def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(PROTO),
def(INET_SOCKETS),
!def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_CLIPBOARD),
True,
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
