!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(EBCDIC),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(PROTO),
def(WSDEBUG),
def(DEBUG),
def(FEAT_GUI_GTK),
def(RISCOS),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
!def(PROTO),
def(__BORLANDC__),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
!def(RISCOS),
def(LESSTIF_VERSION),
def(EBCDIC),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_FKMAP),
def(JUMPLIST_ROTATE),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
