def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(PROTO),
def(NBDEBUG),
def(INET_SOCKETS),
def(__BORLANDC__),
def(PROTO),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
True,
def(JUMPLIST_ROTATE),
def(WSDEBUG),
!def(NO_CONSOLE),
