(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
True,
def(FEAT_GUI),
def(FEAT_CLIPBOARD),
!def(WIN64),
def(WIN64),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
!def(NO_CONSOLE),
!def(EBCDIC),
def(FEAT_GUI_MOTIF),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(FEAT_MBYTE),
!def(FEAT_BEVAL),
def(DEBUG),
!def(FEAT_GUI_MOTIF),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(LESSTIF_VERSION),
def(EBCDIC),
!def(RISCOS),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
