!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(DEBUG),
!def(PROTO),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
!def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(INET_SOCKETS),
def(WSDEBUG),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
True,
def(__BORLANDC__),
def(FEAT_FKMAP),
