!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_GUI_W32),
True,
!def(PROTO),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
