(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
!def(INET_SOCKETS),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(__MINT__),
def(FEAT_PROFILE),
def(FEAT_GUI_W32),
def(WIN32),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(_WIN32),
def(WSDEBUG),
True,
def(FEAT_BEVAL_GUI),
def(MAIN),
def(DEBUG),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
!def(FEAT_PROFILE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(UNIX),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
!def(FEAT_BEVAL_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(UNIX),
