def(__MINT__),
def(DEBUG),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_TERMGUICOLORS),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(MAIN),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
def(PROTO),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(WIN32),
True,
def(_WIN32),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
