!def(FEAT_PROFILE),
def(NBDEBUG),
def(PROTO),
def(WSDEBUG),
def(__MINT__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL_GUI),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(FEAT_BEVAL),
True,
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(FEAT_PROFILE),
def(_WIN32),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(DEBUG),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
