!def(INET_SOCKETS),
def(MAIN),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(WIN32),
def(WSDEBUG_TRACE),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
True,
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(DEBUG),
def(NBDEBUG),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
def(_WIN32),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(NO_CONSOLE),
