!def(FEAT_BEVAL),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
True,
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(WSDEBUG),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(PROTO),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
