!def(EBCDIC),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(EBCDIC),
!def(FEAT_MBYTE),
True,
!def(PROTO),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(DEBUG),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_GUI_GTK),
!def(RISCOS),
def(RISCOS),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_FKMAP),
def(WSDEBUG),
def(__BORLANDC__),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
