!def(FEAT_GUI_GTK),
def(FEAT_CLIPBOARD),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_BEVAL),
!def(PROTO),
def(WSDEBUG),
True,
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(DEBUG),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(FEAT_MBYTE),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(FEAT_FKMAP),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
