def(FEAT_EMACS_TAGS),
!def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_CLIPBOARD),
def(FEAT_SUN_WORKSHOP),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
def(NBDEBUG),
def(WSDEBUG),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_EMACS_TAGS),
True,
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(PROTO),
def(MCH_WRITE_DUMP),
