!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(PROTO),
True,
def(FEAT_GUI),
def(FEAT_FKMAP),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
!def(PROTO),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
