!def(FEAT_PROFILE),
def(MAIN),
def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(_WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
def(FEAT_PROFILE),
def(__MINT__),
True,
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(WIN32),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(PROTO),
