!def(INET_SOCKETS),
def(__MINT__),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
def(PROTO),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
def(FEAT_BEVAL_GUI),
!def(FEAT_GUI_W32),
def(MAIN),
!def(FEAT_BEVAL_GUI),
def(WSDEBUG_TRACE),
def(_WIN32),
True,
!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(FEAT_PROFILE),
def(NBDEBUG),
