def(FEAT_EMACS_TAGS),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(DEBUG),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
!def(NO_CONSOLE),
!def(FEAT_EMACS_TAGS),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
!def(PROTO),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
True,
def(FEAT_FKMAP),
def(PROTO),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_RIGHTLEFT),
