def(FEAT_CLIPBOARD),
def(__BORLANDC__),
def(NBDEBUG),
def(FEAT_GUI_GTK),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_RIGHTLEFT),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(FEAT_FKMAP),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(PROTO),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
True,
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
