!def(FEAT_MBYTE),
!def(PROTO),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
!def(RISCOS),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(__BORLANDC__),
def(PROTO),
!def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(RISCOS),
True,
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
def(INET_SOCKETS),
