(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(EBCDIC),
!def(FEAT_BEVAL),
def(FEAT_GUI),
!def(LESSTIF_VERSION),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
True,
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(RISCOS),
def(DEBUG),
!def(EBCDIC),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
def(FEAT_FKMAP),
!def(FEAT_MBYTE),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_TERMRESPONSE),
def(FEAT_MBYTE),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TOOLBAR),
