!def(FEAT_GUI_GTK),
def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
def(FEAT_GUI),
!def(FEAT_EMACS_TAGS),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(__BORLANDC__),
def(DEBUG),
!def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_CLIPBOARD),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
