def(FEAT_PROFILE),
def(DEBUG),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_SUN_WORKSHOP),
def(__MINT__),
def(MAIN),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(_WIN32),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_TRACE),
True,
def(FEAT_TOOLBAR),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(WIN32),
def(WSDEBUG_SENSE),
!def(FEAT_PROFILE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
