!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
True,
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(WIN32),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(DEBUG),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MAIN),
def(LESSTIF_VERSION),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
