def(FEAT_BEVAL_GUI),
!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
def(WIN32),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_GTK),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(DEBUG),
!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
def(MAIN),
def(_WIN32),
True,
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
!def(FEAT_PROFILE),
