def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(NBDEBUG),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(DEBUG),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_CLIPBOARD),
True,
def(FEAT_MBYTE),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(LESSTIF_VERSION),
