(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(EBCDIC),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(FEAT_BEVAL),
(!def(FEAT_BEVAL)&def(NOIME)),
True,
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_DND),
!def(RISCOS),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_GUI_W32),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
