!def(INET_SOCKETS),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
!def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(DEBUG),
def(WSDEBUG),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
True,
def(WSDEBUG_SENSE),
