!def(RISCOS),
def(JUMPLIST_ROTATE),
(!def(HAVE_GTK2)&def(FEAT_GUI_GTK)),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(RISCOS),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
!def(EBCDIC),
def(FEAT_TERMRESPONSE),
def(EBCDIC),
True,
def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(NBDEBUG),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_MBYTE),
!def(FEAT_RIGHTLEFT),
def(WSDEBUG),
!def(PROTO),
