def(FEAT_CLIPBOARD),
def(WSDEBUG),
!def(INET_SOCKETS),
True,
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(NBDEBUG),
def(__BORLANDC__),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_MBYTE),
def(DEBUG),
!def(PROTO),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
!def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(PROTO),
def(JUMPLIST_ROTATE),
