!def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(FEAT_MBYTE),
def(WIN32),
def(MAIN),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL_GUI),
def(LESSTIF_VERSION),
def(FEAT_FLOAT),
def(DEBUG),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(__MINT__),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_FKMAP),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(_WIN32),
def(FEAT_RIGHTLEFT),
