!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(DEBUG),
def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(NBDEBUG),
True,
