!def(NO_CONSOLE),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(FEAT_TOOLBAR),
True,
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_BEVAL),
def(PROTO),
!def(PROTO),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
