def(FEAT_JOB_CHANNEL),
def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(MAIN),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
True,
def(_WIN32),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
def(DEBUG),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(__MINT__),
def(JUMPLIST_ROTATE),
!def(FEAT_PROFILE),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
