(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
def(FEAT_TOOLBAR),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
def(ABORT_ON_INTERNAL_ERROR),
def(DEBUG),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_TRACE),
def(NBDEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_W32),
True,
def(UNIX),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(INET_SOCKETS),
def(FEAT_BEVAL_GUI),
def(_WIN32),
!def(FEAT_GUI_GTK),
def(WIN32),
def(JUMPLIST_ROTATE),
def(PROTO),
def(LESSTIF_VERSION),
!def(FEAT_PROFILE),
def(FEAT_FKMAP),
def(FEAT_TERMRESPONSE),
!def(UNIX),
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL_GUI),
def(__MINT__),
def(FEAT_MBYTE),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
