!def(FEAT_BEVAL),
def(__BORLANDC__),
def(DEBUG),
def(PROTO),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(FEAT_BEVAL),
!def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
True,
!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(WSDEBUG),
