def(UNIX),
def(FEAT_GUI_W32),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_FKMAP),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL_GUI),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MAIN),
def(PROTO),
def(FEAT_PROFILE),
!def(UNIX),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__MINT__),
!def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
def(WIN32),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(_WIN32),
True,
