!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
True,
def(PROTO),
def(FEAT_SUN_WORKSHOP),
!def(PROTO),
def(FEAT_GUI_GTK),
def(NBDEBUG),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(__BORLANDC__),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
