def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(PROTO),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
!def(FEAT_BEVAL),
def(WSDEBUG),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_CLIPBOARD),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
True,
def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_GUI),
!def(PROTO),
