!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(DEBUG),
def(FEAT_TERMRESPONSE),
True,
def(__BORLANDC__),
def(FEAT_TOOLBAR),
