!def(PROTO),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(WSDEBUG),
def(DEBUG),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(NO_CONSOLE),
def(FEAT_GUI),
True,
