!def(FEAT_GUI_GTK),
def(FEAT_BEVAL_GUI),
!def(FEAT_PROFILE),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
def(WSDEBUG),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(__MINT__),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(_WIN32),
def(WSDEBUG_TRACE),
True,
def(PROTO),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
