(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL_GUI),
!def(FEAT_PROFILE),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(FEAT_PROFILE),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
def(FEAT_BEVAL_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
True,
def(MAIN),
def(WIN32),
def(INET_SOCKETS),
def(__MINT__),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(_WIN32),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(NBDEBUG),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(ABORT_ON_INTERNAL_ERROR),
