def(RISCOS),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_BEVAL),
!def(FEAT_BEVAL),
def(NBDEBUG),
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
!def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
True,
!def(RISCOS),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(PROTO),
def(DEBUG),
def(FEAT_GUI_GTK),
